#
# This file lists all of the actors known to the Kepler system. For
# each actor it documents the person who reviewed the documentation for
# the actor for the given release and the name of the test workflows that
# should be run by the nightly build using a path relative to the Kepler root
# directory.  For actors that can not be tested instead one should write NA
# in the workflow test column.
# '$Id: actor-list.csv 24234 2010-05-06 05:21:26Z welker $'
#
#Actor,DocReview,Release,Comments,TestWorkflow1,TestWorkflow2,...
GAMESSKeywords,incomplete,beta2,none,none
GAMESSLocalRun,incomplete,beta2,none,none
GAMESSNimrodRun,incomplete,beta2,none,none
GAMESSPlanFileGenerator,incomplete,beta2,none,none
GARPAlgorithm,incomplete,beta2,none,none
GarpPrediction,incomplete,beta2,none,none
GARPPresampleLayers,incomplete,beta2,none,none
GARPSummary,incomplete,beta2,none,none
GaussianDistributionRandomNumberGenerator,incomplete,beta2,none,none
GDALFormatTranslator,incomplete,beta2,none,none
GDALWarpandProjection,incomplete,beta2,none,none
Genbank,incomplete,beta2,none,none
Get2DPoint,incomplete,beta2,none,none
GetPoint,incomplete,beta2,none,none
GlobusJob,incomplete,beta2,none,none
GlobusProxy,incomplete,beta2,none,none
GMLDisplayer,incomplete,beta2,none,none
GrassBuffer,incomplete,beta2,none,none
GrassHull,incomplete,beta2,none,none
GrassRaster,incomplete,beta2,none,none
GriddlesExec,incomplete,beta2,none,none
GriddlesFileCopy,incomplete,beta2,none,none
GriddlesInputFile,incomplete,beta2,none,none
GriddlesOutputFile,incomplete,beta2,none,none
GriddlesParameter,incomplete,beta2,none,none
GridFTP,incomplete,beta2,none,none
GridOverlay,incomplete,beta2,none,none
GridRescaler,incomplete,beta2,none,none
GridReset,incomplete,beta2,none,none
GUIRunCIPRes,incomplete,beta2,none,none
HistogramPlotter,incomplete,beta2,none,none
IJMacro,incomplete,beta2,Can not test graphical actor,NA
Image,incomplete,beta2,none,none
ImageContrast,incomplete,beta2,none,none
ImageConverter,incomplete,beta2,none,none
ImageDisplay,incomplete,beta2,none,none
ImageJ,incomplete,beta2,Can not test graphical actor,NA
ImageReader,incomplete,beta2,none,none
ImageRotate,incomplete,beta2,none,none
Initializer,incomplete,beta2,Requires CIPRes install for CORBA support,NA
Integrator,incomplete,beta2,none,none
InteractiveShell,incomplete,beta2,none,none
Interpolate,incomplete,beta2,none,none
Interpolator,incomplete,beta2,none,none
IntRangeParameter,incomplete,beta2,none,none
InvokeService,incomplete,beta2,none,none
IsPresent,incomplete,beta2,none,none
JCOGGridFTP,incomplete,beta2,none,none
JCOGPROXYExec,incomplete,beta2,none,none
JCOGWorkflowExec,incomplete,beta2,none,none
JGridletCreator,incomplete,beta2,none,none
JobCreator,incomplete,beta2,none,none
JobGetRealJobID,incomplete,beta2,none,none
JobManager,incomplete,beta2,none,none
JobRemover,incomplete,beta2,none,none
JobStatus,incomplete,beta2,none,none
JobSubmitter,incomplete,beta2,none,none
JRunCIPRes,incomplete,beta2,none,none
KeywordGroup,incomplete,beta2,none,none
Limiter,incomplete,beta2,none,none
Line,incomplete,beta2,none,none
LinearModel,incomplete,beta2,none,none
LineReader,incomplete,beta2,none,none
LineWriter,incomplete,beta2,none,none
LocalBlastOne,incomplete,beta2,none,none
Logger,incomplete,beta2,none,none
LogicFunction,incomplete,beta2,none,none
LongToDouble,incomplete,beta2,none,none
LookupTable,incomplete,beta2,none,none
MastOpalInput,incomplete,beta2,none,none
MatlabExpression,incomplete,beta2,none,none
MatrixViewer,incomplete,beta2,none,none
Maximum,incomplete,beta2,none,none
MemeOpalInput,incomplete,beta2,none,none
MergeGrids,incomplete,beta2,none,workflows/test/IPCC_Change_NightlyBuildTest.xml
MessageDigestTest,incomplete,beta2,none,none
MetadataSource,incomplete,beta2,none,none
Minimum,incomplete,beta2,none,none
MoleculeArrayProducer,incomplete,beta2,none,none
MoleculeSelector,incomplete,beta2,none,none
MonitorImage,incomplete,beta2,none,none
MonitorValue,incomplete,beta2,none,none
MultiplyorDivide,incomplete,beta2,none,none
NextDiagram,incomplete,beta2,none,none
NexusFileReader,incomplete,beta2,Requires CIPRes install for CORBA support,NA
NonstrictTest,incomplete,beta2,none,workflows/test/NonstrictTest.xml
ObjectToRecordConverter,incomplete,beta2,none,none
OneofParameter,incomplete,beta2,none,none
OnError,incomplete,beta2,none,none
